Lipid_name,full_smiles,Amine,Tail,amine_filled,tail_filled,amine_corrected,fill_confidence,fill_tanimoto,fill_note
A2_B5_C3,CCCCCCC/C=C\C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B6_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B7_C3,C#CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B8_C3,C=CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B9_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B10_C3,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B11_C3,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B12_C3,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B1_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B2_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A2_B3_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B4_C4,CCCCCCC/C=C/C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B5_C4,CCCCCCC/C=C\C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B6_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B7_C4,C#CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B8_C4,C=CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B9_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B10_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B11_C4,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B12_C4,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B1_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B2_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A2_B3_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B4_C5,CCCCCCC/C=C/C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCC/C=C/CCCCCCCC,NCCCN1CCCC1,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
