,Mean,Std,Max,Min,ExtremeVariance
GM_319,0.00071963086,0.00583738,0.059808817,-0.025269452,0.08507827
GM_320,-0.0052583837,0.007150503,0.032047193,-0.055554483,0.08760168
GM_321,0.00084648764,0.007865451,0.04881757,-0.05759946,0.10641703
GM_322,0.0010640019,0.007134679,0.05863312,-0.04906864,0.10770176
GM_323,0.000115240924,0.00855841,0.057063848,-0.055659637,0.112723485
GM_324,-0.0019144444,0.004233862,0.025291732,-0.031889196,0.057180926
GM_325,-0.0021251102,0.0028028567,0.017310921,-0.018833036,0.03614396
GM_326,0.00076786196,0.0073414636,0.055012494,-0.04501584,0.100028336
GM_327,0.0055870097,0.009113143,0.08028574,-0.03178865,0.11207439
GM_328,-0.0023306876,0.0038138756,0.02599066,-0.028176636,0.054167293
GM_329,-0.0003260742,0.004272045,0.02645659,-0.034773815,0.061230406
GM_330,-0.00057991716,0.0058720754,0.061888527,-0.037905145,0.09979367
GM_331,-0.002030101,0.0061368598,0.04508579,-0.04905274,0.09413853
GM_332,5.1047537e-05,0.004361119,0.047385518,-0.054694273,0.102079794
GM_333,0.0022258076,0.0044769743,0.031637847,-0.031347007,0.062984854
GM_334,-0.0010829867,0.0043300325,0.024774248,-0.039803248,0.0645775
GM_335,-0.00013381126,0.0036467738,0.057398938,-0.022264248,0.07966319
GM_336,0.0027511702,0.0062578497,0.052750956,-0.047739774,0.100490734
GM_337,-0.0015295286,0.0032530744,0.025207272,-0.029554678,0.05476195
GM_338,-0.000472722,0.005561793,0.041878533,-0.03893621,0.08081474
GM_339,-0.0012707387,0.004307908,0.020207483,-0.031495176,0.05170266
GM_340,-0.0039265743,0.0121878795,0.054406077,-0.08791092,0.142317
GM_341,-0.0014477749,0.0070211906,0.043829262,-0.04985751,0.093686774
GM_342,-0.0008820365,0.005937798,0.03346846,-0.06865831,0.10212676
GM_343,0.00014644877,0.0057071075,0.06254172,-0.042070277,0.104612
GM_344,0.0025922437,0.009554435,0.09076637,-0.03532274,0.12608911
GM_345,0.0029073036,0.004094193,0.056420762,-0.029121153,0.08554192
GM_346,0.0003889565,0.0038340979,0.02343711,-0.02007873,0.04351584
GM_347,0.000466004,0.0030001656,0.030265354,-0.031625174,0.061890528
GM_348,0.0012611853,0.0034220442,0.032312278,-0.038030043,0.07034232
GM_349,-0.0007522316,0.0023701207,0.021502517,-0.026823657,0.048326172
GM_350,-0.00073506054,0.004408285,0.03171657,-0.025085215,0.056801785
